ddt.unwedding.txt: 离婚
gotopage.view.LeagueShowFrame.scoreBtnText: 积分{0}
hunter.target1: 目标一
tank.manager.PlayerManager.demotionOther: <{0}>将<{1}>降职为<{2}>
treasureHunting.tip7: 积分开启只可在常规寻宝下进行
tank.consortia.myconsortia.frame.MyConsortiaUpgrade.appealTxt: 公会等级{0}级
hunter.target2: 目标二
tank.newyear.loadScoreRewardListError: 加载新年活动积分奖励模板表失败!
choosecharacter.ChooseCharacterView.pass:  恭喜！角色名可以使用！
ddt.cardSystem.CardCell.cannotMoveCardMain: 此卡牌不能移动到主卡位上
treasureHunting.msg: 你获得
ddt.cardSystem.CardCell.cannotMoveCardOther: 此卡牌不能移动到副卡位上
yyVip.openView.tipTxt: 必须在本界面开通YY会员，才能领取回馈奖励
choosecharacter.ChooseCharacterView.lost:  角色名已被注册！
treasureHunting.count: 成功寻宝{0}次！
hunter.target3: 目标三
ddt.cardSystem.CardCell.notOpen: 此卡位尚未解除封印
hunter.target4: 目标四
tank.view.common.AddPricePanel.xufei1: 此物品已过期，请续费
treasureHunting.huntingNow: 寻宝中。。。
ddt.cardSystem.CardCell.differentSets: 卡牌不能移动到不属于他的套卡中
ddt.quest.collectInfo.phone: 手机号码：
escort.game.buffTitleTxt1: 加速
tank.consortia.myconsortia.frame.MyConsortiaUpgrade.consortiaSmithUpgrade: 公会保管箱升级
treasureHunting.lastTimeTxt: 最后更新  
hunter.time: {0}天{1}时{2}分
ddt.cardSystem.loadfail.setsSortRule: 加载套卡排列规则失败!
hunter.rankNum: {0}名
tank.newyear.buyRateTips: 是否花费{0}点券使分数增加{1}倍？
tank.view.comon.lack: 您的点券不足，是否立即充值？
treasureHunting.exchangeAll: <p align="center">您可使用积分寻宝<FONT SIZE='16' COLOR='#FF0000'>{0}</FONT>次</p>
<FONT SIZE='14' COLOR='#FF0000'>注：每30点积分兑换一次寻宝机会
如果背包已满，系统会自动停止寻宝</FONT>
ddt.cardSystem.loadfail.setsProperties: 加载套卡属性失败!
forgeMainView.latentEnergy.equipTipTxt: 首先请双击选择您要激活的装备
tank.view.enthrall.turnSwitch: 防沉迷开关关闭
treasureHunting.notEnough: 您的积分不足30点，不可兑换
hunter.notRankNum: 100名以后
ddt.cardSystem.loadfail.PropertyList: 加载套卡详细属性列表失败!
hunter.notHaveRank: 未排名
tank.bible.typeTxt: 急需提升,推荐提升,可提升,卓越
tank.view.enthrall.CIDInfoSetFail: 验证失败
treasureHunting.over: 活动已结束
tank.consortia.myconsortia.frame.MyConsortiaUpgrade.consortiaSkillUpgrade: 公会技能升级
ddt.quest.collectInfo.email: 邮箱地址：
hunter.complateNum: 完成{0}次
tank.view.enthrall.CIDInfoSetSuccess: 验证成功
ddt.cardSystem.cardsTipPanel.type: 类型:
treasureHunting.recordTxt: 在寻宝中获得
ddt.cardSystem.cardsTipPanel.typeDetail: {0} ({1})
hunter.count: 次
tank.newyear.buyLimitCountTips: 购买1次次数需要花费{0}点券，是否确认购买？（还可购买{1}次）
tank.view.enthrall.CIDInfoFalse: 身份证信息有误，请重新填写
treasureHunting.exHunt: 需要至少选择四种迷宫类型才可开启高级寻宝
tank.view.common.levelRange: 级别段：
forgeMainView.latentEnergy.itemTipTxt: 然后请双击选择您要使用的道具
tank.view.enthrallCheckFrame.checkBtn: 开始验证
ddt.cardSystem.cardsTipPanel.basePropText: 基础属性:
mysteriousRoulette.ensureGet: 确认领取物品？
catalogView.pro1: 攻击
ddt.cardSystem.cardsTipPanel.level: 等级
catalogView.pro2: 防御
tank.view.enthrallCheckFrame.checkCode: 验证码
mysteriousRoulette.noTicket: 寻宝次数不足！
tank.consortia.myconsortia.frame.MyConsortiaUpgrade.success: 升级后可提升强化合成成功率，目前提升经验加成
ddt.quest.collectInfo.validate: 验证码：
catalogView.pro3: 敏捷
tank.view.enthrallCheckFrame.checkTitle: 实名验证
ddt.cardSystem.cardsTipPanel.EP: 经验:{0}
mysteriousRoulette.ensureBuy: 是否消耗{0}点券购买商品？
ddt.cardSystem.cardsTipPanel.attack: 攻击: {0}   ({1})
catalogView.pro4: 幸运
tank.newyear.activityDate: {0}到{1}
tank.view.enthrallCheckFrame.checkAlert: 身份证格式不对，请重新填写！
mysteriousRoulette.running: 神秘转盘正在转动中。。。
ddt.cardSystem.cardsTipPanel.defends: 防御: {0}   ({1})
ddt.pets.rePetName: 改名
forgeMainView.wishBead.equipTipTxt: 首先请双击选择您要铸金的装备
tank.consortia.club.CreatConsortiaFrame.consortiaName: 公会名不能含有非法信息
ddt.bag.item.openBatch.titleStr: 批量打开
catalogView.pro5: 血量
ddt.cardSystem.cardsTipPanel.agility: 敏捷: {0}   ({1})
catalogView.pro6: 伤害
tank.view.changeColor.lackCard: 此次变色需消耗{0}勋章，请问是否继续？
ddt.bag.item.openBatch.promptStr: 请输入打开的数量
tank.consortia.myconsortia.frame.MyConsortiaUpgrade.storeSuccess: 公会铁匠铺{0}级，提升经验加成{1}
ddt.quest.collectInfo.validateSend: 验证码发送成功,可能会有数分钟延迟。
catalogView.pro7: 护甲
tank.view.changeColor.text4: 装备
ddt.cardSystem.cardsTipPanel.lucy: 幸运: {0}   ({1})
ddt.petEquipLevel: 宠物等级：{0}级
ddt.cardSystem.cardsTipPanel.guard: 护甲: {0}   ({1})
catalogView.pro8: 魔攻
tank.newyear.notBuyTips: 购买物品所需积分不足
tank.view.changeColor.text5: 请单击选择您要变色的装备
ddt.petEquipLevelNo: 宠物等级不够
tank.command.fightLibCommands.script.MeasureScree.startTrain: 开始训练
forgeMainView.wishBead.itemTipTxt: 然后请双击选择您要使用的道具
tank.view.changeColor.sexAlert: 性别不符
ddt.cardSystem.cardsTipPanel.damage: 伤害: {0}   ({1})
ddt.petEquipNo: 没有宠物！
catalogView.pro9: 魔抗
ddt.cardSystem.cardsTipPanel.setsName: 套卡: {0}   ({1}/{2})
catalogView.pro10: 暴击
tank.view.changeColor.suitAndWingCannotChange: 套装和装饰不能变色
godOfWealth.detail: 本次供奉可随机获得{0}~{1}绑定点券
tank.consortia.myconsortia.frame.MyConsortiaUpgrade.storeUpgrade: 公会铁匠铺升级
ddt.quest.collectInfo.dataError: 输入无效，请重新输入。
escort.game.buffTitleTxt2: 减速
tank.view.buff.PayBuff.Note: VIP免费开启梅恩兰德的祝福
ddt.cardSystem.cardsTipPanel.equip: 装备{0}张:   
godOfWealth.activity.isOpen: 招财神活动开启了!
catalogView.pro11: 破甲
ddt.quest.collectInfo.validateComplete: 验证成功。
tank.newyear.activityOver: 活动结束
tank.view.buff.PayBuff.Name: 梅恩兰德的祝福
godOfWealth.activity.isClose: 招财神活动结束了!
catalogView.pro12: 暴伤
ddt.quest.collectInfo.validateFail: 验证码有误。
tank.view.buff.freeCard: 激活该功能1天将扣除{0}点券，是否继续？
ddt.trainer.view.ExplainOne.explain: 增加1次攻击
retrieveFrame.retrieve.equipTipTxt: 请双击选择您要精炼的装备
catalogView.pro14: 必杀
godOfWealth.detail.timesOut: 本次活动供奉次数已用完，谢谢参与
tank.view.buff.doubleExp: 激活该功能将扣除{0}点券，是否继续？
catalogView.pro13: 速度
ddt.trainer.view.ExplainTen.explain: 增加伤害10%
tank.consortia.myconsortia.frame.MyConsortiaUpgrade.condition: <FONT SIZE='12' FACE='Arial' KERNING='2' COLOR='#ff0000'>(条件不足)</FONT>
tank.bible.des1: 活动名称,副本名称,竞技名称,福利名称
ddt.pets.release: 放生
godOfWealth.detail.rewardAlert: 供奉成功，恭喜获得{0}绑定点券，已发送至邮箱
tank.view.buff.preventKick: 激活该功能30天将扣除{0}点券，是否继续？
ddt.quest.collectInfo.validateError: 输入验证码有误，请重新输入
catalogView.countTxtMsg: ({0}/{1})
catalogView.claimNameMsg0: {0}号碎片
godOfWealth.alert: 本次供奉需要花费{0}点券
tank.view.buff.addPrice: 对该功能续费将扣除{0}点券，是否继续？
ddt.quest.collectInfo.noMail: 请输入邮箱地址
tank.newyear.notBuyLimitCount: 已达到最大购买次数
godOfWealth.alert.godIsSmiling: 财神正在对你微笑
tank.view.common.roomLevel: 房间难度：
retrieveFrame.retrieve.itemTipTxt: 请双击选择您要精炼的道具
tank.view.buff.VipLevelFree: VIP{0}免费
consortion.shop.selfRichOfferTxt.text: 需要贡献
catalogView.claimNameMsg1: 基石碎片
ddt.bagandinfo.ringSystem.infoText2: 夫妻组队竞技战或副本时生效
ddt.trainer.view.ExplainPowerThree.three: 发射3束炮弹
tank.auctionHouse.view.AuctionBrowseView.bandStipple: 绑定点券
carnival.awardBuyCountTxt: 限购{0}
tank.view.buff.doublePrestige: 激活该功能将扣除{0}点券，是否继续？
consortion.shop.word.text: 注:公会商城内道具购买即为绑定状态
forgeMainView.enchant.equipTipTxt: 首先请双击选择您要附魔/注灵的装备
tank.consortia.myconsortia.MyConsortiaMemberList.tipArr.name: 会员名称
ddt.trainer.view.ExplainPowerThree.power: 发射致命一击
catalogView.claimNameMsg3: {0}碎片
tank.gameover.DisableGetCard: 您所在小队中无人对敌方造成伤害或防沉迷限制，不能翻牌。
catalogView.claimNameMsg2: 碎片数量
consortion.levelBtn.text1: 1-3级使用
ddt.quest.collectInfo.noPhone: 请输入手机号码
ddt.trainer.view.ExplainPowerThree.ps: 注：这两个道具不可同时使用
tank.game.BuffTip47: 战斗经验两倍<br>战斗功勋两倍<br>战斗中护甲增加{0}
tank.newyear.fightContent: <font color='#a6dced'>{0}</font>在本次活动中获得<font color='#02db2b'>{1}</font>积分
tank.gameover.VipDescTxt: VIP6翻牌8折
wishBeadMainView.tipTxt: 祝福宝珠可以通过活动获得
consortion.levelBtn.text2: 4-7级使用
bagAndInfo.bag.NecklacePtetrochemicalView.title: 项链炼化
ddt.trainer.view.ExplainPlane.explain: 将自己传送到目标位置
worldKing.phoneError: 手机号码输入有误
tank.view.buffInfo.outDate: 您的{0}将于{1}分钟后到期
catalogView.activationAndTotalMsg: 已组合：{0}/{1}
consortion.levelBtn.text3: 8-10级使用
bagAndInfo.bag.NecklacePtetrochemicalView.info: 生命提升+{0}%
escort.game.buffTitleTxt3: 隐身
ddt.trainer.view.ExplainTwoTwenty.two: 增加2次攻击
tank.auctionHouse.view.AuctionBrowseView.useBandStipple: 优先使用绑定点券
tank.tenYearAnniversary.playerCreateDateMsg: {0}年创建角色
tank.serverlist.ServerListPosView.your: 您等级过高，请选择合适的服务器进行游戏。
consortion.openSkillFrame.richesText1: 总共消耗                    财富
bagAndInfo.bag.NecklacePtetrochemicalView.Warning: 紫晶石数量不足
tank.consortia.myconsortia.MyConsortiaMemberList.tipArr.duty: 公会职务
ddt.trainer.view.ExplainTwoTwenty.twenty: 增加伤害20%
worldKing.teamNameError: 队伍名称输入有误
tank.consortia.myconsortia.frame.MyConsortiaUpgrade.consumeTxt: {0} 财富{1}；  {2} 金币
worldKing.gmailError: 邮箱地址输入有误
consortion.openSkillFrame.richesText2: 总共消耗                    个人贡献度
bagAndInfo.bag.NecklacePtetrochemicalView.WarningI: 项链已经炼化到最高级
ddt.quest.collectInfo.noValidate: 请输入验证码。
ddt.trainer.view.ExplainTwoTwenty.ps: 可与其他道具组合使用，伤害更高
worldKing.invaterError: 您邀请的好友不在线
tank.limitedTimeGift.loadgiftInfoError: 加载限时礼包数据表失败!
crazytank.clickboard: 我在玩弹弹堂，感觉很不错，你也一起来玩啊~
wishBeadMainView.rateTxt: 成功率：{0}%
consortion.openSkillFrame.richesText3: 总共消耗                    勋章
bagAndInfo.bag.NecklacePtetrochemicalView.goodTip: (炼化{0})
wishBeadMainView.noMatchTipTxt: 攻击 祝福宝珠无法铸金 武器 以外的装备
ddt.trainer.view.ExplainThreeFourFive.tip: 使用后增加更多攻击伤害
worldKing.time: {0}天{1}小时{2}分钟
crazytank.copyOK: 地址复制成功，粘贴至QQ或MSN发送给好友吧
consortion.taskFrame.textWordI.text: 您目前拥有          点券，请输入捐献的数量。
ddt.pets.convert: 转化
ddt.trainer.view.ExplainThreeFourFive.ps: 注：与其他道具组合使用伤害更高
tank.auctionHouse.view.AuctionBrowseView.Your:  你的余额不足
tank.auctionHouse.view.BrowseLeftMenuView.qianghua: 强化石
consortion.taskFrame.textWordII.text: 点券 =          	财富
game.view.GameTrusteeshipView.tipsData: 托管后轮到自己的回合
自动Pass
tank.consortia.myconsortia.MyConsortiaMemberList.tipArr.level: 会员等级
ddt.functionLimitTip: 该功能暂未开放，{0}级再来吧！
game.view.GameTrusteeshipView.cancelTxt: <P ALIGN="LEFT"><FONT FACE="宋体" SIZE="14" COLOR="#000000" LETTERSPACING="0" KERNING="0"><BR><CT5><B><U><a href="event:\">点击取消&gt;&gt;</a></U></B></CT5><BR></FONT></P>
wishBeadMainView.noMatchTipTxt2: 防御 祝福宝珠无法铸金 衣服 以外的装备
tank.auctionHouse.view.BrowseLeftMenuView.qianghua1: 强化石1级
worldKing.inputError: 请输入正确的团队名称
consortion.takeIn.selectAllBtn.text: 全选
worldKing.limitGrade: 等级不足{0}级，未达到参赛条件
ddt.quest.collectInfo.phoneNumberError: 输入号码无效，请重新输入
ddt.trainer.store.open: 铁匠铺开启后可以使用该功能!
tank.game.ToolStripView.liansai: 宝图
tank.limitedTimeGift.goldBuy.msg: 确定消耗{0}金币购买{1}个{2}?
tank.auctionHouse.view.BrowseLeftMenuView.qianghua2: 强化石2级
consortion.takeIn.agreeBtn.text: 同意
bagAndInfo.bag.NecklacePtetrochemicalView.goodTipII: (+{0}%)
ddt.room.cantOpenMuti: 6级可以点击此处增加己方房间人数
buried.alertInfo.uplevel: 确认消耗{0}点券提升藏宝图至下一级?
tank.auctionHouse.view.BrowseLeftMenuView.qianghua3: 强化石3级
ddt.worldKing.roomName: 荣耀弹王
consortion.takeIn.refuseBtn.text: 拒绝
ddt.worldKing.award.championType1: 15000￥、5万绑点
任意249武器\五星普通宠[蚂蚁\绿芽\小鸡\波谷]任选其一
ddt.playerManager.addFriend.isRefused: 对方设置了拒绝加好友.
tank.auctionHouse.view.AuctionBrowseView.buy:  您确认一口价买下该物品吗?
tank.bible.des2: 参与人数,副本人数,竞技人数,领取条件
tank.auctionHouse.view.BrowseLeftMenuView.qianghua4: 强化石4级
consortion.takeIn.setRefuseText.text: 拒绝申请
buried.alertInfo.rollDiceContiniue: 是否确认消耗{0}点券继续投掷
tank.consortia.myconsortia.MyConsortiaMemberList.tipArr.time: 会员下线时间
room.view.roomView.MatchRoomView.challengeTip: 开启了挑战功能，可以加入大厅挑战房间列表或点击
他人名称后在界面中点击“发起挑战”按钮
buried.alertInfo.rollDice: 是否确认消耗{0}点券继续翻牌
wishBeadMainView.noMatchTipTxt3: 属性 祝福宝珠无法铸金 帽子 以外的装备
tank.auctionHouse.view.BrowseLeftMenuView.zhuque1: 朱雀石1级
ddt.worldKing.award.championType2: 25000￥、8万绑点、“金•NO.1”称号
任意249武器\五星普通宠[蚂蚁\绿芽\小鸡\波谷]任选其一
consortion.upGradeFrame.levelTxt.text: 公会等级
ddt.worldKing.award.runnerUpType1: 8000￥、3万绑点
任意242武器\任意四星宠 任选其一
ddt.quest.collectInfo.identityName: 姓名:
shop.manager.ShopBuyManager.textImg: 购买数量
buried.alertInfo.mapover: 已获得终点奖励，立即刷新
tank.petSystem.talentLevel: lv.{0}
tank.auctionHouse.view.BrowseLeftMenuView.zhuque2: 朱雀石2级
consortion.upGradeFrame.storTxt.text: 铁匠铺
ddt.worldKing.award.runnerUpType2: 15000￥、6万绑点、“银•NO.2”称号
[任意242武器\任意四星宠]任选其一
tank.view.common.duplicateName: 副本名称：
shop.view.ShopRankingView.NoSearchResults: 无搜索结果
buried.alertInfo.toGo: 运气不错！前进一步！
escort.game.buffTitleTxt4: 导弹
tank.auctionHouse.view.BrowseLeftMenuView.zhuque3: 朱雀石3级
consortion.upGradeFrame.shopTxt.text: 公会商城
ddt.worldKing.award.thirdType1: 5000￥、2万绑点
[任意242武器\任意四星宠]任选其一
im.playerState.awayReply: 你好,现在有事不在,一会再和你联系.
tank.auctionHouse.view.AuctionBrowseView.buction:  竞拍金额输入
tank.auctionHouse.view.BrowseLeftMenuView.zhuque4: 朱雀石4级
consortion.upGradeFrame.boxTxt.text: 保管箱
buried.alertInfo.toBack: 你真点背！后退一步！
tank.consortia.myconsortia.MyConsortiaMemberList.tipArr.search: 搜索会员
im.playerState.busyReply: 现在忙,一会联系.
buried.alertInfo.toStart: 你太苦逼啦！回到起点！
wonderfulActivity.getRewardTip: 只能在行走大厅领取奖励
tank.auctionHouse.view.BrowseLeftMenuView.xuanwu1: 玄武石1级
ddt.worldKing.award.thirdType2: 8000￥、5万绑点、“铜•NO.3”称号
守护法典、黄金纱织、四星萌小喵、荷花鲤[四选一]
consortion.upGradeFrame.skillTxt.text: 公会技能
ddt.worldKing.award.48RankType1: 3万绑点、(守护法典、黄金纱织、四星萌小喵[三选一])、任意230武器*1
ddt.quest.collectInfo.identityNumber: 身份证:
im.playerState.noDisturbReply: 神马迷茫中,火星回来联系.
tank.game.BuffTip48: 战斗经验两倍<br>战斗功勋两倍<br>战斗中伤害增加{0}
tank.petSystem.talentCount: 数量：{0}
tank.auctionHouse.view.BrowseLeftMenuView.xuanwu2: 玄武石2级
consortion.upGradeFrame.skillTxt.text1: 个人技能
buried.alertInfo.toEnd: 你太幸运啦！直到终点！
im.playerState.shoppingReply: 正在血拼中,一会联络.
buried.alertInfo.DiceOver: 今天的投掷次数已用完！
tank.auctionHouse.view.BrowseLeftMenuView.xuanwu3: 玄武石3级
ddt.worldKing.award.48RankType2: 3万绑点、(守护法典、黄金纱织、四星萌小喵[三选一])、任意230武器*1
consortion.upGrade.explainWord.text: 说  明：
ddt.worldKing.award.top100QualifierAward: 坐骑升级丹*30、荣誉精华*80、高级祭品*100
im.playerState.cleanOutReply: 正在扫荡中,一会联络.
tank.auctionHouse.view.AuctionBrowseView.input: 输入
tank.auctionHouse.view.BrowseLeftMenuView.xuanwu4: 玄武石4级
consortion.upGrade.nextLevel.text: 下一级:
buried.alertInfo.starFull: 藏宝图已是最高等级！
tank.manager.ChurchRoomManager.loadingMap: 正在加载结婚场景地图
im.playerState.away: 离开
buried.alertInfo.buriedAtion: 小提示:开始寻宝可任意翻开一张宝物牌,并可消耗点券/绑定点券额外翻开其他两张宝物牌.
wonderfulActivity.close: 活动已结束
tank.auctionHouse.view.BrowseLeftMenuView.qinglong1: 青龙石1级
ddt.worldKing.award.qualifierInvolvementAward: 坐骑升级丹*10、荣誉精华*50
consortion.upGrade.require.text: 要  求:
ddt.worldKing.award.top8PromotionAward: 坐骑升级丹*80、灵魂石*300、启灵珠1级*50
ddt.quest.collectInfo.identityComplete: 该任务已完成
im.playerState.offline: 离线
buried.alertInfo.diceAtion: 小提示:每到终点还将额外获得藏宝图宝箱.
tank.petSystem.Star1: 一星
tank.auctionHouse.view.BrowseLeftMenuView.qinglong2: 青龙石2级
consortion.upGrade.consume.text: 消  耗:
ddt.worldKing.award.promotionInvolvementAward: 坐骑升级丹*50、灵魂石*200、启灵珠1级*30
im.playerState.busy: 忙碌中
buried.alertInfo.shopTitle: 宝石商店
tank.auctionHouse.view.BrowseLeftMenuView.qinglong3: 青龙石3级
consortion.quit.word.text: 你确定要退出公会吗？
ddt.worldking.rankingFrame.surplusNumber: 剩余场次：{0}
ddt.pets.washBone: 洗髓
im.playerState.noDisturb: 请勿打扰
tank.auctionHouse.view.AuctionBuyView.Auction:  竞拍价小于起拍价与增值之和
tank.auctionHouse.view.BrowseLeftMenuView.qinglong4: 青龙石4级
tank.ddtchurchroomlist.frame.WeddingRoomGuestListView.titleText: 宾客列表
buried.alertInfo.ligthStone: 玄兽宝石
tank.manager.ItemManager.cigaretteAsh:  烟花
im.playerState.online: 在线
buried.alertInfo.noBindMoney: 绑定点券不足，是否使用点券？
gemstone.limitLevel.tipTxt: 战魂系统{0}级开放
tank.auctionHouse.view.BrowseLeftMenuView.baihu1: 白虎石1级
ddt.worlkding.roomView.battleModuTxt: 1.为了保证比赛公平公正性,所有玩家基础属性
配置相同;
2.比赛前注意配置武器、宠物技能和坐骑技能;
common.church.churchDialogueAgreePropose.contentText.text: 接受了你的求婚。
恭喜你们结为百年之好。
您可以去礼堂举行婚礼，让世人见证你们的爱情。
worldKing.pet.maxLength: 宠物装备技能槽已满！
ddt.quest.collectInfo.notValidMailAddress: 邮箱地址无效
im.playerState.shopping: 购物
buried.alertInfo.questsContiniue: 请完成藏宝任务后，再进行投掷!
tank.petSystem.Star2: 二星
tank.auctionHouse.view.BrowseLeftMenuView.baihu2: 白虎石2级
common.church.ChurchBuyRingFrame.text1.text: 你没有求婚戒指，无法进行求婚！
worldKing.pet.aliveSkillMax: 宠物最多装备3个主动技能！
im.playerState.cleanOut: 扫荡中
buried.alertInfo.btnTip: 本次投掷消耗{0}点券/绑定点券
tank.auctionHouse.view.BrowseLeftMenuView.baihu3: 白虎石3级
common.church.ChurchBuyRingFrame.text2.text: 注：购买			 需要999点券
worldKing.pet.unAliveSkillMax: 宠物最多装备2个被动技能！
ddt.consortia.event.contribute: {0} 公会成员{1}捐献{2}点公会财富
tank.auctionHouse.view.AuctionBuyView.Your:  你的余额不足
tank.bible.des4: 活动奖励,副本奖励,竞技奖励,奖励内容
tank.auctionHouse.view.BrowseLeftMenuView.baihu4: 白虎石4级
common.church.ChurchBuyRingFrame.text3.text: 求婚戒指
buried.alertInfo.btnTipfree: 本次投掷免费
tank.manager.ItemManager.aid:  辅助
ddt.consortia.event.contributeGM: {0} GM捐献{1}点公会财富
buried.alertInfo.starBtnTipfree: 在宝图起点，可点击提升星级
oldPlayer.login.promptTxt: 欢迎老玩家[{0}]回归弹弹堂，老玩家可给公会带来大量财富。
BrowseLeftMenuView.zhuque: 朱雀石
send: 发 送
tank.petSystem.Star3: 三星
